sep=|
02:30 horas (UTC-6)
lunes 7 de diciembre de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
445|0|100.0000|441|4|37.6669

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PVEM|PT|NUEVA_ALIANZA|MORENA|PARTIDO_HUMANISTA|ENCUENTRO_SOCIAL|PAN_PANAL|PRI_PVEM|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
1|AGUASCALIENTES|1|JESUS MARIA|356|3|C|0|1|2|404|231|238|107|73|6|25|13|2|1|2|1|2|0|6|238|622| |1| |041a8f2999dc645713d4664c97fa15ea08df30395827af115a8dc4d92a30c768|2015-12-06 23:14:00.000|2015-12-07 00:17:57.294|2015-12-07 00:18:00.381|
1|AGUASCALIENTES|1|JESUS MARIA|357|1|B|0|2|2|518|245|250|143|72|3|17|4|3|2|2|2|0|0|2|250|748| |1| |36938714a6a0fa81fa14c65692ff01e9ebb74fce0b7964ee3b2d4f9cabf7783c|2015-12-06 23:20:00.000|2015-12-07 00:44:12.776|2015-12-07 00:44:15.694|
1|AGUASCALIENTES|1|JESUS MARIA|357|1|C|0|2|2|507|254|260|138|69|4|23|9|6|0|1|2|0|0|8|260|747| |1| |dbdc2cda50f6e1f4fa9d247f6a7baa85afcfe4883a7db3257e022f654c90066d|2015-12-06 23:15:00.000|2015-12-07 00:33:05.429|2015-12-07 00:33:08.365|
1|AGUASCALIENTES|1|JESUS MARIA|358|1|B|0|1|2|410|248|255|102|75|2|43|13|0|1|1|1|2|0|15|255|645| |1| |8283baa709d605a8ecf50508fc2538a85616913f563e9ef37c67dc455681234a|2015-12-06 23:10:00.000|2015-12-06 23:53:35.829|2015-12-06 23:53:38.788|
1|AGUASCALIENTES|1|JESUS MARIA|358|1|C|0|1|2|Sin dato|227|227|81|81|3|34|11|2|5|1|Sin dato|Sin dato|Ilegible|9|227|645| |1| |fdaff9e0ab879630a25a81a8314bae827badf917a3e94b20bac5e9d518fcaf1c|2015-12-06 23:16:00.000|2015-12-07 00:36:45.671|2015-12-07 00:36:48.562|
1|AGUASCALIENTES|1|JESUS MARIA|358|2|C|0|1|2|436|219|229|72|75|6|43|10|3|2|1|4|2|0|11|229|645| |1| |27aa5ada749f12989c3043dc9561d92ed89b14233a8724d99792324bf847052a|2015-12-06 23:09:00.000|2015-12-06 23:52:10.368|2015-12-06 23:52:13.459|
1|AGUASCALIENTES|1|JESUS MARIA|358|3|C|0|1|2|454|212|213|85|73|0|34|4|5|0|3|2|1|0|6|213|645| |1| |dc221268676e1abbfe76ceb9073d41949a574a8171e11ecb1c076495351239bd|2015-12-06 23:16:00.000|2015-12-07 00:16:30.927|2015-12-07 00:16:33.768|
1|AGUASCALIENTES|1|JESUS MARIA|358|4|C|0|1|2|455|206|209|84|64|6|29|6|2|0|5|1|0|0|12|209|644| |1| |4b4f73dffef06f46d11de4a069313cbce50d4d879759f6f7df31771b7e5cd243|2015-12-06 23:10:00.000|2015-12-07 00:30:09.008|2015-12-07 00:30:11.700|
1|AGUASCALIENTES|1|JESUS MARIA|359|1|B|0|1|2|340|196|204|83|76|4|23|7|1|0|0|0|3|0|7|204|524| |1| |786dac4018e3232b5ff2e7ae7dcc6967128f5507e736534fe89fa59995777a68|2015-12-06 23:15:00.000|2015-12-07 00:31:05.449|2015-12-07 00:31:08.295|
1|AGUASCALIENTES|1|JESUS MARIA|359|1|C|0|1|2|339|195|205|71|70|3|Ilegible|7|2|3|1|0|2|0|10|169|524| |1| |23c055c20277f03ef0acd572325beed04eeb380057d0af149208596cc2bd7e67|2015-12-06 23:14:00.000|2015-12-07 00:33:52.859|2015-12-07 00:33:54.749|
