Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
AMALIA	0	0	0	0	0	0	6	0	0	5	0	8	0	0	5	5	0	0	0	0
AMAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMANAT	0	0	0	0	0	0	0	0	9	7	10	0	8	6	7	9	8	5	14	10
AMANDA	102	74	60	48	49	44	26	41	29	26	15	10	14	13	10	6	7	14	7	0
AMANDA-LEE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMANDEEP	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMANJOT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMANPREET	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMARA	0	7	0	0	0	0	0	13	8	11	0	8	7	7	7	9	25	23	21	20
AMARAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0
AMARI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5
AMARIS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
AMARJIT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMARPREET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMAYA	0	0	0	5	0	0	6	10	13	10	11	12	16	15	12	24	35	31	21	20
AMAYAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AMBER	47	52	42	27	45	40	32	23	26	39	23	14	19	32	25	15	13	23	19	35
AMBERLY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMEERA	0	0	0	0	0	0	0	5	0	0	0	8	6	0	9	0	5	9	5	0
AMELIA	25	17	39	45	59	59	53	59	64	63	104	90	97	118	136	140	143	152	170	141
AMELIE	0	0	7	13	10	6	9	8	5	7	9	6	17	10	11	0	8	11	6	0
AMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMINA	0	5	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	6	0	0
AMIRA	0	0	0	0	6	6	11	10	13	16	7	13	18	14	14	15	21	19	17	15
AMIRAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
AMISHA	0	6	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
AMNEET	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMREEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	5	7	10	8	10
AMRIT	9	9	14	13	9	12	7	7	0	0	10	9	7	0	0	0	0	8	6	0
AMRITA	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
AMY	80	81	54	62	70	48	40	35	44	41	31	36	18	25	32	21	30	26	20	9
AMYRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	10	6
AMÉLIE	0	0	5	0	0	8	6	8	5	9	10	9	5	7	0	0	6	7	5	5
ANA	6	8	12	11	9	9	12	12	12	9	12	12	8	13	10	7	8	9	13	5
ANABELLE	0	0	0	0	0	0	0	0	6	0	6	0	6	7	0	0	0	0	0	0
ANAHAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0
ANAISHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ANAIYA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0
ANASTASIA	17	11	13	14	11	22	19	20	27	18	10	8	16	12	13	15	17	27	28	25
ANAYA	0	0	0	0	5	5	0	7	6	6	15	9	14	12	16	26	21	30	20	21
ANAYAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	5	0
ANAYAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8
ANAÏS	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ANDI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	6	0
ANDIE	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7
ANDREA	42	26	26	23	23	28	12	20	19	20	13	13	13	17	16	10	6	8	16	10
ANDRIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANEET	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
ANGEL	10	22	17	9	15	15	13	21	9	11	24	19	16	15	13	9	9	6	12	7
ANGELA	46	47	33	42	30	37	28	29	35	23	20	26	30	26	39	23	17	18	13	14
ANGELENE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGELICA	12	9	16	11	7	13	11	8	8	9	10	12	7	0	12	0	0	8	0	0
ANGELINA	16	42	41	39	34	53	42	43	35	31	16	19	22	22	20	23	14	10	11	11
ANGELINE	7	5	8	0	0	5	0	0	5	0	0	6	5	0	0	0	0	0	0	0
ANGELIQUE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGIE	0	0	5	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0
ANHAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ANICA	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ANIKA	22	19	22	24	32	28	23	19	18	21	27	12	17	23	19	15	14	14	11	8
ANISA	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
ANISHA	5	6	0	0	11	5	6	9	5	7	6	0	0	0	0	0	0	0	0	0
ANITA	7	9	5	9	0	8	5	5	7	6	0	6	0	0	0	6	0	5	5	0
ANIYA	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ANIYAH	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	0	0	0	0
ANJA	0	0	9	0	0	5	0	5	0	5	0	0	0	0	5	0	0	0	0	0
ANJALI	10	0	8	0	0	5	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ANMOL	7	0	13	8	9	6	5	6	6	0	0	0	5	0	0	0	0	0	0	0
ANN	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	5	0	0
ANN-MARIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNA	77	94	73	81	101	83	83	80	84	80	82	77	75	65	73	64	79	70	59	68
ANNA-MARIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNABEL	6	0	0	0	6	0	0	0	0	7	0	7	7	10	9	7	10	9	0	0
ANNABELLA	0	0	0	6	0	9	0	6	0	13	10	9	0	10	10	11	5	6	7	8
ANNABELLE	7	12	10	5	12	18	14	20	18	21	42	33	33	41	40	35	37	40	32	23
ANNALISE	6	0	6	5	0	5	0	0	0	0	7	0	0	9	5	8	5	8	0	0
ANNAMARIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANNE	10	0	11	13	0	8	9	6	7	0	5	12	7	7	10	7	9	6	7	0
ANNE-MARIE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
